Year,Serie,Value
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.60
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.90
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.30
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.60
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.90
2019,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.31
2019,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.31
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",20.10
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.60
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.60
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.40
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",19.20
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",16.10
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.90
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",17.00
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",19.30
2019,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",20.12
2010,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",14.63
2011,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",14.74
2012,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",16.06
2013,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",13.18
2014,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",19.19
2015,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",13.94
2016,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",15.32
2017,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",13.00
2018,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",15.40
2019,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",12.00
2010,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",13.71
2011,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",14.14
2012,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",12.81
2013,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",11.53
2014,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",19.19
2015,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",14.31
2016,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",14.77
2017,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",12.67
2018,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",15.13
2019,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",13.47
